strategy,alpha,seed,vdf_delay,use_vdf,num_epochs,total_slots,runtime_seconds,adversarial_reward,slot_gain,fork_rate,reorg_rate,missed_slots,forks,reorgs,total_blocks,canonical_adversarial_fraction
honest_baseline,0.1,3,32,True,15,480,1.302587375001167,0.08173076923076923,-0.018269230769230774,0.0,0.0,0,0,0,480,0.07291666666666667
honest_baseline,0.2,1,0,False,15,480,1.3027754579998145,0.18509615384615385,-0.014903846153846156,0.0,0.0,0,0,0,480,0.18333333333333332
honest_baseline,0.2,1,32,True,15,480,1.3145874999972875,0.21634615384615385,0.016346153846153844,0.0,0.0,0,0,0,480,0.21041666666666667
honest_baseline,0.2,2,0,False,15,480,1.3022546250031155,0.20432692307692307,0.0043269230769230616,0.0,0.0,0,0,0,480,0.2
honest_baseline,0.2,2,32,True,15,480,1.2984837500007416,0.15625,-0.04375000000000001,0.0,0.0,0,0,0,480,0.15833333333333333
honest_baseline,0.2,3,0,False,15,480,1.3061381250008708,0.21875,0.01874999999999999,0.0,0.0,0,0,0,480,0.2125
honest_baseline,0.2,3,32,True,15,480,1.3038797919980425,0.18028846153846154,-0.019711538461538475,0.0,0.0,0,0,0,480,0.17916666666666667
honest_baseline,0.3,1,0,False,15,480,1.3100226659989858,0.2668269230769231,-0.033173076923076916,0.0,0.0,0,0,0,480,0.2708333333333333
honest_baseline,0.3,1,32,True,15,480,1.304484083000716,0.31490384615384615,0.014903846153846156,0.0,0.0,0,0,0,480,0.3125
honest_baseline,0.3,2,0,False,15,480,1.313514290999592,0.30528846153846156,0.005288461538461575,0.0,0.0,0,0,0,480,0.30416666666666664
honest_baseline,0.3,2,32,True,15,480,1.3414900839998154,0.2620192307692308,-0.03798076923076921,0.0,0.0,0,0,0,480,0.26666666666666666
honest_baseline,0.3,3,0,False,15,480,1.3050005830009468,0.32211538461538464,0.022115384615384648,0.0,0.0,0,0,0,480,0.31875
honest_baseline,0.3,3,32,True,15,480,1.2995544999976119,0.25961538461538464,-0.04038461538461535,0.0,0.0,0,0,0,480,0.26458333333333334
