strategy,alpha,seed,vdf_delay,use_vdf,num_epochs,total_slots,runtime_seconds,adversarial_reward,slot_gain,fork_rate,reorg_rate,missed_slots,forks,reorgs,total_blocks,canonical_adversarial_fraction
adaptive_mixing,0.1,10,0,False,15,480,1.2709557080015657,0.11778846153846154,0.01778846153846153,0.0,0.0125,6,0,6,474,0.09282700421940929
adaptive_mixing,0.1,10,32,True,15,480,1.30197387500084,0.10096153846153846,0.0009615384615384581,0.0,0.0,0,0,0,480,0.08958333333333333
adaptive_mixing,0.1,20,0,False,15,480,1.2242907920008292,0.15625,0.056249999999999994,0.0,0.029166666666666667,14,0,14,466,0.11158798283261803
adaptive_mixing,0.1,20,32,True,15,480,1.2858717499984778,0.0985576923076923,-0.001442307692307701,0.0,0.0,0,0,0,480,0.0875
adaptive_mixing,0.1,30,0,False,15,480,1.242283874998975,0.1346153846153846,0.0346153846153846,0.0,0.025,12,0,12,468,0.09615384615384616
adaptive_mixing,0.1,30,32,True,15,480,1.3327096670000174,0.0985576923076923,-0.001442307692307701,0.0,0.0,0,0,0,480,0.0875
adaptive_mixing,0.2,10,0,False,15,480,1.1710172920029436,0.3004807692307692,0.1004807692307692,0.0,0.06458333333333334,31,0,31,449,0.23385300668151449
adaptive_mixing,0.2,10,32,True,15,480,1.29077212500124,0.17548076923076922,-0.024519230769230793,0.0,0.0,0,0,0,480,0.175
adaptive_mixing,0.2,20,0,False,15,480,1.152842082999996,0.2860576923076923,0.08605769230769228,0.0,0.058333333333333334,28,0,28,452,0.22566371681415928
adaptive_mixing,0.2,20,32,True,15,480,1.2977944999984175,0.1875,-0.012500000000000011,0.0,0.0,0,0,0,480,0.18541666666666667
adaptive_mixing,0.2,30,0,False,15,480,1.2060219170016353,0.2644230769230769,0.06442307692307692,0.0,0.052083333333333336,25,0,25,455,0.210989010989011
adaptive_mixing,0.2,30,32,True,15,480,1.2929559999975027,0.20192307692307693,0.0019230769230769162,0.0,0.0,0,0,0,480,0.19791666666666666
adaptive_mixing,0.3,10,0,False,15,480,1.0929313329979777,0.4543269230769231,0.15432692307692308,0.0,0.10416666666666667,50,0,50,430,0.3674418604651163
adaptive_mixing,0.3,10,32,True,15,480,1.2911375000003318,0.27163461538461536,-0.028365384615384626,0.0,0.0,0,0,0,480,0.275
adaptive_mixing,0.3,20,0,False,15,480,1.1283774999974412,0.4495192307692308,0.1495192307692308,0.0,0.07916666666666666,38,0,38,442,0.38009049773755654
adaptive_mixing,0.3,20,32,True,15,480,1.2936257920009666,0.2956730769230769,-0.0043269230769230616,0.0,0.0,0,0,0,480,0.29583333333333334
adaptive_mixing,0.3,30,0,False,15,480,1.1170724170005997,0.40865384615384615,0.10865384615384616,0.0,0.07916666666666666,38,0,38,442,0.3416289592760181
adaptive_mixing,0.3,30,32,True,15,480,1.2899665410004673,0.2860576923076923,-0.013942307692307698,0.0,0.0,0,0,0,480,0.2875
forking,0.1,10,0,False,15,480,1.481931332997192,0.08653846153846154,-0.01346153846153847,0.025,0.04583333333333333,0,12,22,480,0.03275109170305677
