strategy,alpha,seed,vdf_delay,use_vdf,num_epochs,total_slots,runtime_seconds,adversarial_reward,slot_gain,fork_rate,reorg_rate,missed_slots,forks,reorgs,total_blocks,canonical_adversarial_fraction
adaptive_mixing,0.05,1,0,False,15,480,1.2493045420014823,0.06971153846153846,0.01971153846153846,0.0,0.01875,9,0,9,471,0.04246284501061571
adaptive_mixing,0.05,1,32,True,15,480,1.2834288340018247,0.057692307692307696,0.007692307692307693,0.0,0.0,0,0,0,480,0.05
adaptive_mixing,0.05,2,0,False,15,480,1.2636670000028971,0.06009615384615385,0.010096153846153845,0.0,0.010416666666666666,5,0,5,475,0.042105263157894736
adaptive_mixing,0.05,2,32,True,15,480,1.3057719999997062,0.04326923076923077,-0.006730769230769235,0.0,0.0,0,0,0,480,0.0375
adaptive_mixing,0.05,3,0,False,15,480,1.2824992499990913,0.052884615384615384,0.0028846153846153813,0.0,0.010416666666666666,5,0,5,475,0.035789473684210524
adaptive_mixing,0.05,3,32,True,15,480,1.290501832998416,0.03365384615384615,-0.01634615384615385,0.0,0.0,0,0,0,480,0.029166666666666667
adaptive_mixing,0.1,1,0,False,15,480,1.2330534590000752,0.1466346153846154,0.046634615384615385,0.0,0.022916666666666665,11,0,11,469,0.10874200426439233
adaptive_mixing,0.1,1,32,True,15,480,1.3341464169971005,0.11538461538461539,0.015384615384615385,0.0,0.0,0,0,0,480,0.10208333333333333
adaptive_mixing,0.1,2,0,False,15,480,1.2610453750021406,0.12259615384615384,0.022596153846153835,0.0,0.020833333333333332,10,0,10,470,0.08936170212765958
adaptive_mixing,0.1,2,32,True,15,480,1.3080704999993031,0.07692307692307693,-0.023076923076923078,0.0,0.0,0,0,0,480,0.06875
adaptive_mixing,0.1,3,0,False,15,480,1.2446727919996192,0.16105769230769232,0.06105769230769231,0.0,0.025,12,0,12,468,0.11965811965811966
adaptive_mixing,0.1,3,32,True,15,480,1.351698791997478,0.08173076923076923,-0.018269230769230774,0.0,0.0,0,0,0,480,0.07291666666666667
adaptive_mixing,0.15,1,0,False,15,480,1.2181947919998493,0.21875,0.06875,0.0,0.035416666666666666,17,0,17,463,0.17062634989200864
adaptive_mixing,0.15,1,32,True,15,480,1.3065876660002687,0.17307692307692307,0.023076923076923078,0.0,0.0,0,0,0,480,0.16041666666666668
adaptive_mixing,0.15,2,0,False,15,480,1.201510207996762,0.21634615384615385,0.06634615384615386,0.0,0.04583333333333333,22,0,22,458,0.15938864628820962
adaptive_mixing,0.15,2,32,True,15,480,1.2975860000005923,0.11298076923076923,-0.03701923076923076,0.0,0.0,0,0,0,480,0.10833333333333334
adaptive_mixing,0.15,3,0,False,15,480,1.2122160420003638,0.21394230769230768,0.06394230769230769,0.0,0.04791666666666667,23,0,23,457,0.15536105032822758
adaptive_mixing,0.15,3,32,True,15,480,1.3009148749988526,0.13942307692307693,-0.010576923076923067,0.0,0.0,0,0,0,480,0.13125
adaptive_mixing,0.2,1,0,False,15,480,1.1777043330002925,0.2932692307692308,0.09326923076923077,0.0,0.052083333333333336,25,0,25,455,0.23736263736263735
adaptive_mixing,0.2,1,32,True,15,480,1.2960995829998865,0.21634615384615385,0.016346153846153844,0.0,0.0,0,0,0,480,0.21041666666666667
adaptive_mixing,0.2,2,0,False,15,480,1.1644939170000725,0.3004807692307692,0.1004807692307692,0.0,0.058333333333333334,28,0,28,452,0.23893805309734514
adaptive_mixing,0.2,2,32,True,15,480,1.2977724579977803,0.15625,-0.04375000000000001,0.0,0.0,0,0,0,480,0.15833333333333333
adaptive_mixing,0.2,3,0,False,15,480,1.1295863749983255,0.31971153846153844,0.11971153846153842,0.0,0.07291666666666667,35,0,35,445,0.2449438202247191
adaptive_mixing,0.2,3,32,True,15,480,1.2959202920028474,0.18028846153846154,-0.019711538461538475,0.0,0.0,0,0,0,480,0.17916666666666667
adaptive_mixing,0.25,1,0,False,15,480,1.1135293750012352,0.38221153846153844,0.13221153846153844,0.0,0.08541666666666667,41,0,41,439,0.30068337129840544
adaptive_mixing,0.25,1,32,True,15,480,1.2964050419977866,0.2644230769230769,0.014423076923076927,0.0,0.0,0,0,0,480,0.25833333333333336
adaptive_mixing,0.25,2,0,False,15,480,1.1858944169980532,0.3557692307692308,0.10576923076923078,0.0,0.06666666666666667,32,0,32,448,0.29017857142857145
adaptive_mixing,0.25,2,32,True,15,480,1.3054258749980363,0.21394230769230768,-0.03605769230769232,0.0,0.0,0,0,0,480,0.21458333333333332
adaptive_mixing,0.25,3,0,False,15,480,1.1240964159987925,0.36538461538461536,0.11538461538461536,0.0,0.08333333333333333,40,0,40,440,0.2863636363636364
adaptive_mixing,0.25,3,32,True,15,480,1.305653915998846,0.2091346153846154,-0.04086538461538461,0.0,0.0,0,0,0,480,0.21041666666666667
adaptive_mixing,0.3,1,0,False,15,480,1.1523181249976915,0.40625,0.10625000000000001,0.0,0.06458333333333334,31,0,31,449,0.34966592427616927
adaptive_mixing,0.3,1,32,True,15,480,1.2972029160009697,0.31490384615384615,0.014903846153846156,0.0,0.0,0,0,0,480,0.3125
adaptive_mixing,0.3,2,0,False,15,480,1.134014916002343,0.4014423076923077,0.10144230769230772,0.0,0.075,36,0,36,444,0.33783783783783783
adaptive_mixing,0.3,2,32,True,15,480,1.331813417000376,0.2620192307692308,-0.03798076923076921,0.0,0.0,0,0,0,480,0.26666666666666666
adaptive_mixing,0.3,3,0,False,15,480,1.113178333001997,0.4495192307692308,0.1495192307692308,0.0,0.09375,45,0,45,435,0.3701149425287356
adaptive_mixing,0.3,3,32,True,15,480,1.2903103339995141,0.25961538461538464,-0.04038461538461535,0.0,0.0,0,0,0,480,0.26458333333333334
adaptive_mixing,0.35,1,0,False,15,480,1.1043780840009276,0.4735576923076923,0.12355769230769231,0.0,0.08541666666666667,41,0,41,439,0.40774487471526194
adaptive_mixing,0.35,1,32,True,15,480,1.284834709000279,0.3485576923076923,-0.0014423076923076872,0.0,0.0,0,0,0,480,0.35
adaptive_mixing,0.35,2,0,False,15,480,1.1018229159999464,0.5336538461538461,0.18365384615384617,0.0,0.10208333333333333,49,0,49,431,0.4547563805104408
adaptive_mixing,0.35,2,32,True,15,480,1.2760902909976721,0.31971153846153844,-0.030288461538461542,0.0,0.0,0,0,0,480,0.325
adaptive_mixing,0.35,3,0,False,15,480,1.0791478749997623,0.5072115384615384,0.15721153846153846,0.0,0.1,48,0,48,432,0.4305555555555556
adaptive_mixing,0.35,3,32,True,15,480,1.274217750000389,0.30288461538461536,-0.047115384615384615,0.0,0.0,0,0,0,480,0.3104166666666667
adaptive_mixing,0.4,1,0,False,15,480,1.0863758329978737,0.5961538461538461,0.19615384615384612,0.0,0.11875,57,0,57,423,0.5059101654846335
adaptive_mixing,0.4,1,32,True,15,480,1.294330541997624,0.4110576923076923,0.011057692307692268,0.0,0.0,0,0,0,480,0.4041666666666667
adaptive_mixing,0.4,2,0,False,15,480,1.0475898330005293,0.5913461538461539,0.19134615384615383,0.0,0.1375,66,0,66,414,0.49033816425120774
adaptive_mixing,0.4,2,32,True,15,480,1.2907774999985122,0.3870192307692308,-0.01298076923076924,0.0,0.0,0,0,0,480,0.38333333333333336
adaptive_mixing,0.4,3,0,False,15,480,1.0886491249984829,0.5649038461538461,0.16490384615384612,0.0,0.10416666666666667,50,0,50,430,0.48372093023255813
adaptive_mixing,0.4,3,32,True,15,480,1.2950483339991479,0.3557692307692308,-0.04423076923076924,0.0,0.0,0,0,0,480,0.35625
adaptive_mixing,0.45,1,0,False,15,480,1.0855227080028271,0.6514423076923077,0.2014423076923077,0.0,0.14166666666666666,68,0,68,412,0.5558252427184466
adaptive_mixing,0.45,1,32,True,15,480,1.3214891249990615,0.46634615384615385,0.016346153846153844,0.0,0.0,0,0,0,480,0.4583333333333333
adaptive_mixing,0.45,2,0,False,15,480,1.077851666999777,0.6658653846153846,0.21586538461538457,0.0,0.12708333333333333,61,0,61,419,0.5775656324582339
adaptive_mixing,0.45,2,32,True,15,480,1.3090445419984462,0.43509615384615385,-0.014903846153846156,0.0,0.0,0,0,0,480,0.43125
adaptive_mixing,0.45,3,0,False,15,480,1.1263614160016004,0.6538461538461539,0.20384615384615384,0.0,0.11458333333333333,55,0,55,425,0.571764705882353
